"unidade";"equipe";"ind_8.num";"ind_8.den";"ind_9.1.num";"ind_9.2.num";"ind_9.3.num";"ind_9.den";"ind_13.num";"ind_13.den";"ind_16.num";"ind_16.den";"ind_3.1";"ind_3.2";"ind_3.3";"ind_3.4";"ind_3.5";"ind_3.6";"ind_3.7";"ind_3.9";"ind_3.11";"ind_3.13";"ind_3.14"
"CS NOVO CONTINENTE";"102";"1345";"1380";"237";"1208";"854";"1742";"132";"1340";"13";"52";"1876";"1669";"1399";"441";"145";"150";"401";"33";"15";"14";"249"
"CS PANTANAL";"160";"2485";"2503";"474";"2099";"1384";"3705";"285";"2384";"21";"86";"3939";"3394";"2551";"801";"102";"406";"691";"88";"6";"9";"634"
"CS PANTANAL";"161";"2159";"2183";"529";"1888";"1132";"2844";"195";"2083";"21";"61";"3037";"2797";"1939";"882";"141";"249";"633";"81";"7";"26";"516"
"CS PANTANAL";"162";"1714";"1720";"325";"1448";"859";"2382";"128";"1576";"19";"56";"2478";"2150";"1486";"527";"68";"224";"340";"65";"6";"6";"340"
"CS PANTANO DO SUL";"230";"1503";"1550";"276";"1395";"620";"1984";"267";"1663";"23";"67";"2407";"2204";"1336";"593";"105";"595";"899";"31";"6";"12";"379"
"CS PANTANO DO SUL";"231";"1271";"1304";"278";"1149";"618";"1612";"225";"1375";"11";"41";"1861";"1692";"1176";"565";"102";"288";"576";"35";"5";"14";"264"
"CS PONTA DAS CANAS";"370";"2134";"2222";"399";"1893";"1233";"3016";"528";"2444";"5";"37";"3463";"3007";"2449";"734";"186";"507";"1003";"36";"6";"16";"584"
"CS PONTA DAS CANAS";"371";"1813";"1849";"361";"1547";"1220";"2440";"425";"1975";"2";"22";"2708";"2362";"2166";"619";"142";"460";"828";"30";"6";"15";"522"
"CS PRAINHA";"130";"1474";"1499";"344";"1258";"928";"1934";"143";"1402";"30";"68";"2133";"1908";"1599";"609";"133";"205";"543";"51";"8";"9";"377"
"CS PRAINHA";"131";"1379";"1408";"318";"1063";"1011";"1888";"269";"1332";"19";"71";"1983";"1683";"1511";"547";"120";"243";"468";"87";"4";"14";"280"
"CS PRAINHA";"132";"1422";"1458";"358";"1235";"976";"1800";"140";"1376";"14";"47";"1883";"1676";"1456";"568";"126";"182";"408";"51";"7";"13";"249"
"CS PRAINHA";"133";"556";"566";"60";"452";"290";"1038";"177";"631";"1";"24";"1062";"868";"670";"182";"5";"35";"117";"101";"49";"1";"128"
"CS PRAINHA";"134";"631";"667";"165";"595";"428";"756";"43";"639";"6";"20";"791";"731";"639";"263";"72";"49";"167";"19";"7";"8";"127"
"CS RATONES";"350";"2837";"2859";"635";"2322";"1749";"3637";"528";"2852";"16";"95";"4010";"3447";"2867";"1021";"274";"571";"1086";"29";"7";"16";"430"
"CS RATONES";"351";"4";"4";"1";"4";"2";"5";"16";"20";NA;NA;"5";"5";"2";"2";"1";"0";"1";"0";"0";"0";"0"
"CS RIBEIRAO DA ILHA";"220";"1504";"1516";"486";"1178";"787";"1925";"443";"1621";"11";"38";"2058";"1692";"1394";"760";"95";"417";"555";"29";"5";"12";"329"
"CS RIO TAVARES";"290";"2272";"2320";"429";"1914";"1353";"2925";"498";"2413";"16";"42";"3196";"2767";"2181";"685";"155";"315";"657";"44";"0";"24";"295"
"CS RIO TAVARES";"291";"1943";"1986";"354";"1560";"1028";"2934";"819";"2379";"23";"108";"3133";"2549";"2037";"633";"175";"336";"543";"39";"4";"6";"405"
"CS RIO TAVARES";"292";"1764";"1777";"263";"1456";"857";"2381";"447";"1904";"16";"44";"2551";"2173";"1540";"460";"137";"357";"504";"17";"1";"11";"222"
"CS RIO TAVARES";"293";"0";"0";NA;NA;NA;NA;"0";"0";NA;NA;"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CS RIO VERMELHO";"420";"1726";"1748";"322";"1502";"1090";"2401";"501";"2003";"17";"73";"2704";"2344";"2013";"541";"167";"431";"855";"54";"5";"11";"418"
"CS RIO VERMELHO";"421";"1943";"1993";"308";"1756";"1249";"2540";"412";"2169";"16";"59";"3204";"2861";"2473";"618";"166";"542";"1272";"59";"8";"19";"535"
"CS RIO VERMELHO";"422";"1734";"1777";"303";"1478";"1169";"2323";"518";"1996";"15";"71";"2536";"2164";"1948";"526";"200";"274";"651";"32";"1";"26";"405"
